Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
121,Butler,BE,14-19,+3.89,102.6,98.7,63.9,+.008,+10.49,108.2,97.7,+2.00
122,Utah,P12,44885,+3.86,107.3,103.5,66.2,-0.121,+6.09,105.4,99.3,-1.26
123,Stephen F. Austin,WAC,22-10,+3.84,102.3,98.4,69.1,+.030,-1.88,101.9,103.8,+3.09
124,Liberty,ASun,22-11,+3.83,104.9,101.1,65.3,-0.034,-5.08,100.7,105.8,-0.64
125,Southern Illinois,MVC,16-15,+3.70,102.5,98.8,62.1,-0.071,+0.21,102.9,102.7,-5.76
126,Akron13,MAC,24-10,+3.62,105.6,102,62.1,+.013,-5.13,100.7,105.8,-4.48
127,Louisville,ACC,13-19,+3.59,103,99.4,67,+.001,+7.52,107.6,100.1,+1.52
128,N.C. State,ACC,44886,+3.55,109.6,106,66.9,-0.076,+6.72,107,100.3,-3.18
129,Florida Atlantic,CUSA,19-15,+3.49,105.4,101.9,67.5,-0.108,-3.06,101.6,104.7,-6.79
130,Buffalo,MAC,19-11,+3.39,106.9,103.5,71,-0.033,-3.45,101.8,105.2,+5.36
131,Abilene Christian,WAC,25-11,+3.38,104.1,100.7,70.3,+.040,-2.21,100.6,102.8,-2.82
132,Rhode Island,A10,15-16,+3.27,99.3,96,67.3,-0.089,+0.76,103.8,103,-3.07
133,UC Irvine,BW,15-10,+3.13,99.4,96.3,65.2,-0.005,-0.24,102.1,102.4,+6.25
134,Ohio,MAC,25-10,+3.12,104.2,101.1,67.6,+.034,-5.85,100.8,106.7,-4.56
135,UC Santa Barbara,BW,17-11,+3.10,105.1,102,65.6,-0.084,-5.62,99.2,104.8,-10.82
136,Texas St.,SB,21-8,+3.08,105.7,102.7,63.8,+.114,-3.17,100.7,103.8,-1.68
137,Missouri,SEC,44916,+3.01,104.1,101.1,65.6,-0.02,+10.34,107.1,96.7,+2.07
138,Montana St.14,BSky,27-8,+2.94,104.3,101.4,67.5,+.085,-6.02,101.6,107.6,-1.34
139,Seattle,WAC,23-9,+2.92,99.9,96.9,70.5,+.043,-5.77,100,105.8,-9.96
140,Nebraska,B10,44856,+2.83,105.8,102.9,71.2,-0.057,+8.56,107.8,99.3,-3.49
141,Delaware15,CAA,22-13,+2.64,107,104.3,66.7,+.038,-1.57,102.3,103.8,-3.75
142,California,P12,44915,+2.38,100.5,98.2,64.1,-0.048,+6.07,105.8,99.7,-2.67
143,Sam Houston St.,WAC,19-14,+2.31,100.6,98.3,64.8,-0.004,-1.07,101.6,102.7,+3.30
144,Charleston,CAA,17-15,+2.27,104.7,102.4,73.5,-0.035,-0.75,103,103.8,+1.38
